manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
HikVision,DS-2CD2152F-I/6,"5 Mpx venkovní antivandal dome IP kamera s digitálním WDR, rozlišení 2560×1920, f6mm, IR 30m, MicroSD, H.264+, 3D DNR, PoE, IP66, IK10",4860,5881,https://www.stasanet.cz/out/pictures/master/1/81BCC154-F966-481E-94D9-FC73F8566879__DS-2CD21.jpg,5 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
MAZi Security Systems GmbH,TWN-23SMVRB,"2 Mpx venkovní kompaktní varifokální AHD/TVI/CVI/CVBS kamerA, rozlišení 1920×1080@30fps, objektiv f2.8-12mm, IR 45m, D-WDR, ICR, AGC, IP66",2950,3570,https://www.stasanet.cz/out/pictures/master/1/67E18B07-07DE-4C95-8B69-46F63BCD57D1__TWN-23SMVRB_bracket-opened.jpg,HD TVI kamery 4v1 | HD TVI MAZi (Turbo HD+) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2CE56H5T-ITM/36,"5MPix Ultra-Low Light Dome kamera TurboHD; DWDR+EXIR; IP67;.obj. 3,6mm",1656,2004,https://www.stasanet.cz/out/pictures/master/1/C4FF3183-ED08-48CC-A92B-6606F92C3B09__DS-2CE56FxT-ITM.jpg,Dome kamery | 5 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
Commax,CMP-2BCS,"Dveřní stanice s kamerou pro systém MODUM, přímá volba 8 uživatelů, skrytý kamerový modul (Pinhole), zápustná instalace, napájení 12VDC",6430,7780,https://www.stasanet.cz/out/pictures/master/1/DE3E7EC9-5457-413C-8587-54CBC9B579CD__CMP-2BCS.jpg,Dveřní stanice | MODUM systém | Videotelefony COMMAX - design | Domovní telefony
JABLOTRON ALARMS a.s.,JA-112P,"Sběrnicový vnitřní PIR detektor pohybu, v systému zabírá jednu adresu, úhel záběru 90°, dosah 12m, montážní výška 2.5m, napájen ze sběrnice",650,787,https://www.stasanet.cz/out/pictures/master/1/5667BCD7-278D-4F7D-BA8C-8CC52B9FDC7E__JA-112P.jpg,Detektory | Sběrnicové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
,POE-48-24W,"PoE injektor pro napájení IP kamery, 1× PoE port (100Mbit), 1x Up/Link port (100MBit), maximální PoE zatížitelnost 15.4W",445,538,https://www.stasanet.cz/out/pictures/master/1/7FA3FDF4-5183-4408-B3FA-EC2125B88D09__UBNT_POE-24.jpg,"Switche, PoE injectory | Příslušenství | Kamerové systémy"
,4FN 231 06.1,Modul vrátného 0 tl. EV VIDEO KARAT ANTIKA,2050,2481,https://www.stasanet.cz/out/pictures/master/1/22F963F4-B1B0-425F-AFA8-7740707430CB__4FN-231-06.1.jpg,Moduly | Dveřní stanice KARAT-ANTIKA  barva měděná | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
S-Entry,RF-005EM,"Čtečka karet nebo čipů EM 125KHz.Výstupní formát Wiegand 26, čtecí dosah 3-6cm, napájení 9-16VDC, masivní kovový kryt, stříbrná barva.",1390,1682,https://www.stasanet.cz/out/pictures/master/1/46395B86-C223-46DB-83E2-18A097E3787F__rf005em_1.jpg,Čtečky | ACS Přístupové systémy
HikVision,DS-KIS203,"Kit barevného 7"" videotelefonu DS-KH2220 a dveřní stanice DS-KB2421-IM, 4-vodičový analogový systém",3703,4481,https://www.stasanet.cz/out/pictures/master/1/9EE0F61A-23F6-415C-AE6B-5F925FF38F98__DS-KIS203.jpg,Analogové sady | Videotelefony Hikvision | Domovní telefony
JOB-Detecomat,APSB,"doplněk ke svorkovnici SDB pro vlhké prostory příkon tělíska 24V/4W, vlastní svorkovnice není součástí dodávky",2199,2661,https://www.stasanet.cz/out/pictures/master/1/D3BC366C-BCCA-4254-B9D5-68BCCF51B9E1__apsb_1.jpg,Doplňky k detektorům | Adresovatelné systémy | EPS Požární ochrana
,4FN 230 94.2/P,Modul kódovače KARAT 4+n s podsvitem se zámkem,2200,2662,https://www.stasanet.cz/out/pictures/master/1/37A091C7-EAA3-4061-A341-64209CACE90D__4FN-230-94.2-P.jpg,Moduly | Dveřní stanice KARAT-ANTIKA  barva měděná | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
Paradox,DM70 BUS,"Speciální „zdvojený“ infrapasivní detektor pro nejnáročnější prostředí, navíc s odolností vůči domácím zvířatům (do cca 40kg), shodné parametry jako detektor DG75. Detektor se připojuje přímo na sběrnici BUS a komunikuje obousměrně s ústřednou DIGIPLEX EV",959,1160,https://www.stasanet.cz/out/pictures/master/1/8BD7318D-78B7-4746-A268-4F201F0CF2B4__DM70-BUS.jpg,Sběrnicové detektory | Systém DIGIPLEX EVO | EZS Paradox a ostatní
MAZi Security Systems GmbH,TW-V100,"Stěnový držák pro dome kamery umožňující skrytou montáž kabelů, průměr kamery 136mm, hliníková slitina, bílé lakování, nosnost 2kg",385,466,https://www.stasanet.cz/out/pictures/master/1/185410C8-EA5C-42F2-A231-334B23BD4C25__TW-V100.jpg,Příslušenství | HD TVI MAZi (Turbo HD+) | HD Analogové systémy | Kamerové systémy
,4FN 231 03.2/F,Modul 4 tlač. TT KARAT ANTIKA 2-BUS (se 4 jmenovkami),800,968,https://www.stasanet.cz/out/pictures/master/1/1B9C8DD9-9973-438C-8AEB-B01904B2EBD7__4FN-231-03.2-F.jpg,Moduly | Dveřní stanice KARAT-ANTIKA barva stříbrná | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
JABLOTRON ALARMS a.s.,JA-110Z,"Výrobek slouží k rozbočení sběrnice systému JABLOTRON 100. Proti napadení je chráněn dvojicí sabotážních kontaktů. Dodává se v montážní krabici JA-190PL, pro kterou je uzpůsoben.",410,496,https://www.stasanet.cz/out/pictures/master/1/8B972058-C729-4CC3-8B3E-CA68A000BE74__JA-110Z.jpg,Příslušenství | Sběrnicové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
HikVision,DS-2CD1043G0-I/28,"4 Mpx IP venkovní kamera; H265+;DWDR+ICR+EXIR+obj.2,8mm",3105,3757,https://www.stasanet.cz/out/pictures/master/1/76287619-54D2-424F-9E0D-CFC020C132DC__DS-2CD10.jpg,4 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
JABLOTRON ALARMS a.s.,JA-111P-WW,Slouží k prostorové detekci pohybu osob v interiéru budov. Jeho garantované detekční pokrytí je 90° / 12 m. Výrobek je výsledkem velmi vysokých kvalitativních a designových cílů a svým tvarem esteticky zapadnou i do luxusního interiéru.,590,714,https://www.stasanet.cz/out/pictures/master/1/FC13CBFB-8BD5-4148-AFB8-016FF8B0A6DF__JA-111P-WW.jpg,Detektory | Sběrnicové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
Western Digital,HDD-1TB,"Pevný disk WD Purple, SATA III, 1 TB, trvalý provoz 24 x 7, doporučený pro digitální záznamové zařízení, 3 roky záruka",1455,1761,https://www.stasanet.cz/out/pictures/master/1/940032B3-EFB4-419F-A2B4-539E6CBC1DC3__WD_TB1_a.jpg,HDD pevné disky | IP AVTECH | IP kamerové systémy | Kamerové systémy
2N TELEKOMUNIKACE,9155033,"Modul čtečky karet umožní kontrolu vstupu pomocí bezkontaktních karet, klíčenek nebo jiných nosičů frekvence 13.56 MHz",4457,5393,https://www.stasanet.cz/out/pictures/master/1/6665C1B7-8EC9-4DF7-9DB7-C83CFF6657A1__2n-helios-ip-verso-modul-ctecka-13-mhz.jpg,Rozšiřující moduly | Helios IP Verso | 2N Interkomy | Domovní telefony
HikVision,DS-2CD2155FWD-IS/4,"5 Mpx venkovní antivandal dome IP kamera, rozlišení 2560×1920@20fps, f4mm, IR 30m, MicroSD, alarm I/O, H.265, 3D-DNR, PoE, IP67, IK10",4301,5204,https://www.stasanet.cz/out/pictures/master/1/5F3A9DAB-7B93-4D7F-894B-1D6D5EC15C18__DS-2CD21x5FWD-I.jpg,5 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
JABLOTRON ALARMS a.s.,JA-114HN,"Je vhodný především pro rekonstrukce drátových alarmů, kdy se detektory zachovávají. Časté použití je i pro ovládání více spotřebičů pomocí PG výstupů. Pomocné napájení umožňuje dodat proud pro posilovací relé připojená k signálovému výstupu.",1690,2045,https://www.stasanet.cz/out/pictures/master/1/9DCD2272-780D-447C-84EC-47304910D3D4__JA-114HN.jpg,Příslušenství | Sběrnicové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
HikVision,DS-2CE16C2T-IR/36,"1 Mpx venkovní kompaktní mini HD TVI kamera, rozlišení 1280×720@30fps, objektiv f3.6mm, IR 40m, ICR, DNR, IP66",759,918,https://www.stasanet.cz/out/pictures/master/1/DAD1B13C-C9B7-486D-84BD-0F7419D72779__DS-2CE16C2T-IR.jpg,Kompaktní kamery | 1.3 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,Hik-VSS-Base/64Ch,Základní licence pro 64 kanálů,59248,71690,https://www.stasanet.cz/out/pictures/master/1/6BB245FD-34C2-49B4-B53A-D5F2FA5819C3__HikCentral.jpg,Software | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
,MZEM2,"Audiomodul pro kamerové systémy, režim - mikrofon/ linka, nastavitelná citlivost, možnost skryté montáže, napájení 12VDC",1090,1319,https://www.stasanet.cz/out/pictures/master/1/978B76CF-78D0-437B-A405-91D87415A740__MZEM2.jpg,Audiomoduly | Příslušenství | Kamerové systémy
Uniview,PWR-300A-IN,"Stabilizovaný záložní zdroj pro NVR516, napájení 230 V AC, Uniview",4184,5063,https://www.stasanet.cz/out/pictures/master/1/07A42B27-86C2-47DE-9D2D-6D8EAA0B4C19__PWR-300A-IN.jpg,Příslušenství | IP Uniview | IP kamerové systémy | Kamerové systémy
,4FN 230 85.1,Modul 5 tlač. TT KARAT 4+n (se zámkem),800,968,https://www.stasanet.cz/out/pictures/master/1/71340D55-7DAB-4BB8-8B19-AE785820E56C__4FN-230-85.1.jpg,Moduly | Dveřní stanice KARAT-ANTIKA  barva měděná | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
HikVision,DS-2CD2F42FWD-I/28,"4 Mpx vnitřní PT mini dome IP kamera, rozlišení 2688×11520@20fps, f2.8mm, IR 10m, WDR, motorické naklápění a otáčení, MicroSD, podpora PoE",3933,4759,https://www.stasanet.cz/out/pictures/master/1/9D7F933F-C51D-4794-8166-B3A63CD84AEB__DS-2CD2F.jpg,4 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
ACI Farfisa,EX312,"Digitální domácí telefon pro systém DF6000, nastavení adresy pomocí jumperů, dvouvodičová sběrnice. Neumožňuje připojení bytového vyzváněcího tlačítka",640,774,https://www.stasanet.cz/out/pictures/master/1/BC6DAB0B-6D1F-412A-9A76-6E7242F658FE__EX312.jpg,Domácí telefony | Digitální systém DF6000 | Videotelefony Farfisa - modularita | Domovní telefony
JABLOTRON ALARMS a.s.,SA-201A,Magnetický dveřní kontakt (rozpínací) - miniaturní provedení.,76,92,https://www.stasanet.cz/out/pictures/master/1/A9EAE4A2-BAB4-458A-B4ED-B32CCDB9734F__SA-201-A.jpg,Příslušenství alarmů | Drátové prvky příslušenství | EZS Alarmy Jablotron
HikVision,DS-96256NI-I24/H,"256 kanálový NVR pro IP kamery; HDMI; 4x LAN; 24x SATA; RAID; 7""TFT displej",213532,258374,https://www.stasanet.cz/out/pictures/master/1/A27F03A7-FE30-4634-8F74-CF2D9DDF9C52__DS-96xxxNI-I24-H.jpg,256-kanálové | Záznamová zařízení | IP Hikvision | IP kamerové systémy | Kamerové systémy
2N TELEKOMUNIKACE,9151020,"9151020, 2N® Helios Force Additional Switch, přídavný spínač",1634,1977,https://www.stasanet.cz/out/pictures/master/1/F8CB7B22-A30E-437D-8334-0569E051F597__9151020.jpg,Doplňky | Helios Analog | 2N Interkomy | Domovní telefony
AVTECH,AVM-521CEIL-BKT,Redukce pro montáž do podhledu pro dome kameru AVTECH AVM-521,285,345,https://www.stasanet.cz/out/pictures/master/1/F90F20A9-20AE-4541-B787-3FE3C3808084__AVM521CEIL-BKT.jpg,Příslušenství | IP AVTECH | IP kamerové systémy | Kamerové systémy
HikVision,DS-1281ZJ-DM23,Zkosená montážní patice pro Dome kamery,276,334,https://www.stasanet.cz/out/pictures/master/1/698798E0-C65B-494F-901D-3E551C3247AC__DS-1281ZJ-DM23.jpg,"Patice, adaptéry | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy"
LAN-TEC,WO-632 SMART-2P,Zápustná datová zásuvka se 2 porty CAT 5e stíněná.,109,132,https://www.stasanet.cz/out/pictures/master/1/ECA78215-2B7B-4E1E-9CD1-EF9604EEA48A__WO-632-SMART-2P.jpg,Datové zásuvky | Metalická kabeláž | SKS Strukturovaná kabeláž
2N TELEKOMUNIKACE,9135181E,Helios rozšiřující modul o 8x1 tlačítko,3826,4629,https://www.stasanet.cz/out/pictures/master/1/87FB65A3-BB80-4ADC-83B5-9C41FB2F78AC__2n-helios_extendr-8x1-tlacitko.jpg,Rozšiřující moduly | Helios Analog | 2N Interkomy | Domovní telefony
,SA.1142.001,Vertikální lyžina výška 42U,449,543,https://www.stasanet.cz/out/pictures/master/1/FA8E793E-F7DE-4BC3-8559-1D06806A806E__SA.1142.001.jpg,Příslušenství LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
Commax,DR-8US,"Rozšiřující panel pro systém 4+n, 8 podsvětlených tlačítek s popisnými štítky, zápustná montáž, napájení 12VDC",1470,1779,https://www.stasanet.cz/out/pictures/master/1/4137251F-CF88-4196-B62E-222A8B8DA913__DR-8US.jpg,Domácí audio telefony 4+n | Videotelefony COMMAX - design | Domovní telefony
CCTV,PS-12V/5A,"Univerzální napájecí adaptér - zdroj stabilizovaného napětí 12VDC/5A, odpovídá normám EU pro síťové napáječe na nízkou spotřebu",579,701,https://www.stasanet.cz/out/pictures/master/1/C5CABC9C-FAC8-4CEF-ADED-E819D1FC0A8B__PS_12V.jpg,12VDC nezálohované | Napájecí zdroje a UPS | Příslušenství | Kamerové systémy
LAN-TEC,WO-011 BASIC-1P,1-portová povrchová neosazená datová zásuvka s krytkou pro 1 keyston.,11,13,https://www.stasanet.cz/out/pictures/master/1/1F8B3F6C-6033-472D-8E3F-2548523C98B9__WO-011-BASIC-1P.jpg,Datové zásuvky | Metalická kabeláž | SKS Strukturovaná kabeláž
2N TELEKOMUNIKACE,914401E,"IP jednotka s audio zesilovačem bez reproduktoru, využití stávající LAN/WAN síte, vstup pro externí mikrofon, jednoduchá integrace, dálkové ovládání",8877,10741,https://www.stasanet.cz/out/pictures/master/1/20016DC6-A651-46B4-BF6F-BB617E761851__914401E.jpg,IP Audio | 2N Interkomy | Domovní telefony
JOB-Detecomat,ABF -19,"slouží k dálkovému ovládání ústředny (nebo systému ústředen), ovládací panel kopíruje stavy ústředny a umožňuje plnohodnotnou obsluhu",16499,19964,,Ústředny | Adresovatelné systémy | EPS Požární ochrana
ASSA ABLOY,FAB ENTR / 31+35,"Cylindrická vložka pro zámek FAB ENTR, certifikace pro 4. bezpečnostní třídu, vč. 5 klíčů a bezpečnostní karty, rozměry 31+35",1740,2105,https://www.stasanet.cz/out/pictures/master/1/707ED409-21F8-4945-AB3A-9B2E26F235FF__FAB-ENTR_vlozka.jpg,Motorické zámky | Uzamykací systémy
2N TELEKOMUNIKACE,9155301CBF,"Kompaktní IP interkom, 1 tlačítko, skrytá HD kamera, IR přísvit, přijímání hovoru na telefon, snadná integrace do Home Automation systému, zápustná montáž",23326,28224,https://www.stasanet.cz/out/pictures/master/1/BA4FBFFC-6E9F-4FC6-A847-CD24A841EA24__9155301CBF.jpg,IP SOLO | 2N Interkomy | Domovní telefony
S-Entry,PC-01 LD,"Bezkontaktní přístupová RFID karta pro přístupové a EZS systémy, standard Emarin 125kHz, čtecí vzdálenost 2-10cm, možnost potisku",57,69,https://www.stasanet.cz/out/pictures/master/1/7E61B815-98E9-4FB6-AB10-B560DC634265__PC-01-LD.jpg,Nadstavba ACESS | Systém DIGIPLEX EVO | EZS Paradox a ostatní
HikVision,DS-2CD2155FWD-IG/28,"5 Mpx IP venkovní DOME kamera; WDR+ICR+EXIR+obj.2,8mm; černá",4025,4870,https://www.stasanet.cz/out/pictures/master/1/DC5EB3B2-5A5E-4E74-8E15-9E8D7AFA4005__DS-2CD21x5-G.jpg,5 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
,MA300,Antivandal čtečka otisků prstů s algoritmem 10 s integrovanou čtečkou karet pro venkovní i vnitřní použití.,8249,9981,https://www.stasanet.cz/out/pictures/master/1/B7249179-0E0C-45EC-AE31-36148AF33AAA__MA300.jpg,Nadstavba ACESS | Systém DIGIPLEX EVO | EZS Paradox a ostatní
LAN-TEC,KJ-003 UPD/C5E,Keystone KJ-003 UPD CAT 5e je určen pro montáž do modulárních zásuvek a patch panelů,25,30,https://www.stasanet.cz/out/pictures/master/1/AD33D1A6-936D-425C-A77E-F24930E99BD5__KJ-003-UPD-C5E.jpg,Keystony | Metalická kabeláž | SKS Strukturovaná kabeláž
JABLOTRON ALARMS a.s.,JA-110ST,Sběrnicový detektor požáru JA-110ST (optická a teplotní detekce) detekuje požár v obytných a komerčních budovách.,836,1012,https://www.stasanet.cz/out/pictures/master/1/7207B6E6-D2EF-4297-AB34-D6B3AEFC5861__ja110st.jpg,Detektory | Sběrnicové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
,Provozní kniha EZS,"Kniha tvoří doporučenou součást dokumentace EZS, která je uložena u koncového uživatele, formát A4, cca 20stran",145,175,https://www.stasanet.cz/out/pictures/master/1/E4066E4A-7033-40F8-9623-5009BBABF65C__Provozn---kniha-EZS.jpg,Doplňkový sortiment | Doplňky pro EZS | EZS Paradox a ostatní
,Box M-40,"Stejný typ jako BOX M, navíc osazené trafo 40VA s plastovým krytem, svorkovnicí a pojistkou, opět připravena kompletní kabeláž.",859,1039,https://www.stasanet.cz/out/pictures/master/1/1C9C5EB0-D18A-41C6-925E-9665C9624067__Box-M-40.jpg,Boxy | Doplňky pro EZS | EZS Paradox a ostatní
ACI Farfisa,FC52PL,Autonomní kódová klávesnice. Kód může být o délce 2 až 6 číslic. Pro aktivaci nějakého prvku (např. otevření zámku).,2110,2553,https://www.stasanet.cz/out/pictures/master/1/1A3F1366-7D66-46D3-882E-C49C7FD90A07__FC52PL.jpg,Dveřní stanice Profilo | Digitální systém DUO | Videotelefony Farfisa - modularita | Domovní telefony
LAN-TEC,PD.0704.001,"Napájecí panel, 7 x 230V",899,1088,https://www.stasanet.cz/out/pictures/master/1/B547FB77-071B-4C5D-8781-4C5BA78D9D88__PD.0704.001.jpg,Příslušenství LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
2N TELEKOMUNIKACE,9153202,2-tlačítkový dveřní interkom pro přenos hlasu a ovládání dveří pomocí analogové telefonní linky,4569,5528,https://www.stasanet.cz/out/pictures/master/1/C26CDD02-0FB1-4AFF-8236-4AB6FD1B2B8C__2n-helios-uni_2-tlacitka.jpg,Základní moduly | Helios Analog | 2N Interkomy | Domovní telefony
LAN-TEC,PC-605 C6 UTP,Nestíněný propojovací kabel s konektory RJ45,72,87,https://www.stasanet.cz/out/pictures/master/1/DB1B39D7-AFCA-4A29-BDF7-3F38F3BF95E1__PC-605-C6-UTP.jpg,Patch kabely | Metalická kabeláž | SKS Strukturovaná kabeláž
,TRN-80VA,"Trafo s profesionálně provedeným plastovým krytem zcela kryjícím ""živé"" části, se svorkovnicí a s vyjímatelnou tavnou pojistkou, 80VA.",759,918,https://www.stasanet.cz/out/pictures/master/1/EC5BD95A-2415-4FDE-9918-8B8E10330897__TRN-80VA.jpg,Transformátory | Doplňky pro EZS | EZS Paradox a ostatní
2N TELEKOMUNIKACE,9159011,"Galvanické oddělení na Wiegand sběrnici, vhodné pro všechny interkomy Helios IP",2526,3056,https://www.stasanet.cz/out/pictures/master/1/93672892-539D-406F-B076-83957554C6CC__2n-helios-ip-oddelovac-wiegandu.jpg,Doplňky | Helios IP UNI | 2N Interkomy | Domovní telefony
Paradox,RPT1-433/868,"Opakovač signálu pro zvýšení dosahu prvků Magellan, tento modul lze instalovat pouze u řady ústředen SP/MG/MG-6250.",2639,3193,https://www.stasanet.cz/out/pictures/master/1/0E8CA65A-7AAF-41D5-A62A-74C5A9678AF3__RPT1.jpg,Bezdrátová nadstavba MG | Systémy SPECTRA/ MAGELLAN | EZS Paradox a ostatní
HikVision,DS-2CD2T55FWD-I8/12,5MPix IP venkovní kamera; WDR+ICR+EXIR 80m+obj.12mm,4761,5761,https://www.stasanet.cz/out/pictures/master/1/72664ECC-4A91-4AE8-97F3-58A786CFC7EC__DS-2CD2T.jpg,5 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
JOB-Detecomat,FM T RCP 6B,modul se osazuje do čidla TM - zajišťuje komunikaci s bezdrátovou ústřednou RCP 6B,2199,2661,https://www.stasanet.cz/out/pictures/master/1/CD473849-A5EB-4FD3-820C-39EA9DE8D64E__fm_t_rcp_6b_1.jpg,Prvky a moduly | Bezdrátový systém | EPS Požární ochrana
,4FA 697 01.5,Distanční spona krabic KARAT (na čelo krabice),3,4,https://www.stasanet.cz/out/pictures/master/1/2CF329C9-3A6A-467D-90C5-0219BA2E4E45__4FA-697-01.1.jpg,Krabice pod omítku KARAT | Dveřní stanice KARAT-INOX | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
,4FP 210 55.201,DT 93 s 1 tl. na EZ + 8 tl. na protistanici - elektronické vyzvánění (bílý),670,811,https://www.stasanet.cz/out/pictures/master/1/C6A7B9EF-BBB0-42B2-B61B-9012A19625E0__4FP-210-55.201.jpg,Domácí telefony (4+n) | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
JOB-Detecomat,CT 3000T-EZS,"Tepelné čidlo serie 3000, nastavení 60° max., termodiferenciální, určené pro doplňkovou montáž k EZS.",1283,1552,https://www.stasanet.cz/out/pictures/master/1/4FD1C530-9AAD-4092-8961-62A85114688B__ct3000t.jpg,"Systémové pro EZS | Detektory požární, cigaret a plynů | Vnitřní detekce | EZS Paradox a ostatní"
AVTECH,AVM-552HLKT,"Rozšířený kryt na zeď pro IP kamery AVM-552, AVM-403 a AVM-561 s možností skrýt přívodní kabel, průměr 118mm, výška 41mm, tmavá varianta",799,967,https://www.stasanet.cz/out/pictures/master/1/1B632FC9-5BEE-49A8-AD1C-0D75EAF0F73D__AVM-552HLKT.jpg,Příslušenství | IP AVTECH | IP kamerové systémy | Kamerové systémy
Commax,DR-4AM/DP-SS/RF-1A,"Sada dveřní stanice a domácích telefonů pro 4 uživatele, systém 4+n, zápustná montáž dveřní stanice, povrchová montáž telefonů, napájení 12 V DC",2590,3134,https://www.stasanet.cz/out/pictures/master/1/40E336DD-9B16-4E3D-AA0E-1350BD1CDCA1__DR-4AM_DP-SS_RF-1A.jpg,Sady audiotelefonů | Videotelefony COMMAX - design | Domovní telefony
HikVision,DS-2CD7A26G0-IZS/28,DS-2CD7A26G0-IZS(2.8-12mm),16399,19843,https://www.stasanet.cz/out/pictures/master/1/C809C3D5-4EF6-42F6-9315-FC0634256031__DS-2CD5A.jpg,Kamery DarkFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2DE5232IW-AE,"IP PTZ kamera 2MPix; 32x ZOOM; ICR+3D-DNR, WDR, IR do 150m",16399,19843,https://www.stasanet.cz/out/pictures/master/1/E6D9D69A-5A0C-4687-B48B-9931152894E5__DS-2DE5xxxIW-AE.jpg,2 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2CD2655FWD-IZS-G,"5 Mpx IP venkovní kamera; ICR + EXIR + motorzoom 2,8-12mm; černá",8050,9741,https://www.stasanet.cz/out/pictures/master/1/86B6F9D2-7706-47DB-9D1E-C2D97A04E44D__DS-2CD26x5FWD-IZS-G.jpg,5 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
Paradox,NV75MX,"Duální infrapasivní sběrnicový (BUS) PIR detektor, digitální zpracování signálu, aktivní IR antimasking, dosa 16m/90°. PET imunita, spodní vidění",1936,2343,https://www.stasanet.cz/out/pictures/master/1/BDA67ADC-148B-42C8-B445-C626A53199A1__NV75MW.jpg,Sběrnicové detektory | Systém DIGIPLEX EVO | EZS Paradox a ostatní
DSC,LC-100,Detektor LC-100-PI efektivně spojuje spolehlivou funkci s velmi zajímavou cenou. Ideální pro domácí aplikace pro svou inteligentní analýzu signálu a spolehlivou detekci.,350,424,https://www.stasanet.cz/out/pictures/master/1/1D8D9C2D-05AD-4777-BA90-F6AE782928C9__LC-100.jpg,Detektory digitální PIR | Vnitřní detekce | EZS Paradox a ostatní
CCTV,JVSG-IP,"Software pro návrh kamerových systémů. Snadný a rychlý výstup ve formě nákresu a tabulky. Podpora importu plánu budovy nebo pozemku ve formátu JPEG nebo BMP, případně lze použít jako podklad obrázky z AutoCAD, Visio nebo Google Earth. České menu.",4150,5022,https://www.stasanet.cz/out/pictures/master/1/50E2C8E5-571A-4C46-8FE5-17641BB33144__JVSG.jpg,Software pro návrh kamerových systémů | Příslušenství | Kamerové systémy
CCTV,DSA-12V/1A,"Napájecí zdroj 230V/ 12VDC/ 1A, v plastovém krytu, 1x výstup pro kamery - DC konektor",255,309,https://www.stasanet.cz/out/pictures/master/1/3165FF58-3FE7-44A3-ADEF-E2236126B68C__dsa12v1a.jpg,12VDC nezálohované | Napájecí zdroje a UPS | Příslušenství | Kamerové systémy
HikVision,DS-2CD2463G0-IW/28,"6MPix IP Cube kamera; ICR+IR+PIR; obj. 2,8mm; WiFi",2714,3284,https://www.stasanet.cz/out/pictures/master/1/A0A0A4AD-1171-4520-9AE4-E559F2B9F868__DS-2CD24x5.jpg,Wi-Fi kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2XC6224G0-L,IP podvodní kamera; IP68; WDR 120dB; obj. 2mm,50784,61449,https://www.stasanet.cz/out/pictures/master/1/B25F776B-74A5-45DF-B6D9-E49F43AF69BD__DS-2XC6224G0-L.jpg,Kamery 6-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2CD2010F-I/4,"1,3MPix IP venkovní kamera; ICR+IR+Card slot+obj. 4mm",2208,2672,https://www.stasanet.cz/out/pictures/master/1/035CFC93-186E-4091-BF41-6789D8A4871A__DS-2CD20.jpg,1.3 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2DE4225IW-DE/KIT,IP PTZ kamera 2 Mpx; 25x ZOOM; včetně konzole na stěnu,11109,13442,https://www.stasanet.cz/out/pictures/master/1/BDD885AE-2143-486A-B60B-AA652DBB6B22__DS-2DE4225IW-DE-KIT.jpg,2 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2DE4220-AE,"2 Mpx venkovní PTZ dome IP kamera s digitálním WDR, f4.7-94mm, 20× optický zoom, 16× digitální zoom, alarm I/O, MicroSD, IP66",14234,17223,https://www.stasanet.cz/out/pictures/master/1/86767335-6C6B-49AA-BDF5-F5C3E4D42520__DS-2DE4x20.jpg,2 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
