manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
,4FF 692 33,Stříška pro montáž nad omítku GUARD 3 moduly,510,617,https://www.stasanet.cz/out/pictures/master/1/508829B0-35A7-45F6-A7CD-111F3A5978D8__4FF-692-33.jpg,Stříšky pro montáž nad omítku GUARD | Dveřní stanice GUARD | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
JABLOTRON ALARMS a.s.,PLV-CP-M,"Náhradní plast pro ústř. JA-63, JA-101 a JA-82K",275,333,https://www.stasanet.cz/out/pictures/master/1/03A96A94-4D90-4348-BE2C-1B42BAB632DF__PLV-CP-L.jpg,Instalační příslušenství | EZS Alarmy Jablotron
RX Corp.,RX-60-12,"Univerzální spínaný zdroj v plechovém krytu, nastavitelné výstupní napětí 10.5-13VDC/5A, výkon 60W, svorkovnice, zálohovaný",1250,1513,https://www.stasanet.cz/out/pictures/master/1/4F3A198E-1E1B-462F-A2AC-F1C30D403379__CPS60-12.jpg,12VDC zálohované | Napájecí zdroje a UPS | Příslušenství | Kamerové systémy
,4FN 230 94.1/P,Modul kódovače KARAT 4+n s podsvitem se zámkem,2200,2662,https://www.stasanet.cz/out/pictures/master/1/F6458B71-37AC-42F9-B05A-99BC3097D98E__4FN-230-94.1-P.jpg,Moduly | Dveřní stanice KARAT-ANTIKA  barva měděná | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
2N TELEKOMUNIKACE,91378382,"Praktický stolní stojan pro odpovídací jednotku 2N® Indoor Touch, upevnění pomocí dvou šroubů, černá barva",3009,3641,https://www.stasanet.cz/out/pictures/master/1/43C061D0-5C64-4FE2-8243-21B618A84DD8__91378382.jpg,Doplňky | Helios IP Verso | 2N Interkomy | Domovní telefony
JOB-Detecomat,DETECT 3400,"ústředna pro hlásiče řady 3000, kompaktní 1 sm/126 adres; skříň se zdrojem, základní deska se vstupy a výstupy Požár, Porucha, výstupy dle požadavků EN 54, nelze rozšiřovat",21999,26619,https://www.stasanet.cz/out/pictures/master/1/C793C9F9-D1D4-49BE-8BA2-4EE9E301284B__detect_3400_1.jpg,Ústředny | Adresovatelné systémy | EPS Požární ochrana
,SA.1115.001,Vertikální lišta výška 15U,119,144,https://www.stasanet.cz/out/pictures/master/1/46B2F189-6C5B-4F1C-A914-B61B5C6209EC__SA.1115.001.jpg,Příslušenství LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
HikVision,DS-7204HQHI-K1/A,"4 kanálový 3MPx TurboHD rekordér, Alarm",2346,2839,https://www.stasanet.cz/out/pictures/master/1/5A542901-CCE7-48DA-812A-0F63323D6BCD__DS-72xxHUHI-K1.jpg,4-kanálové | Záznamová zařízení | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
,4FF 692 63.2,Stříška KARAT horizontální nad omítku HNO 3 rám,850,1029,https://www.stasanet.cz/out/pictures/master/1/5F006736-457B-43CB-9D22-B2699676252C__4FF-692-63.2.jpg,Stříšky nad omítku (komplet s krabicí) KARAT | Dveřní stanice KARAT-ANTIKA  barva stříbrná | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
2N TELEKOMUNIKACE,9155016,Třímodulová zápustná krabice pro zápustnou instalaci základních a rozšiřujících modulů 2N Helios IP Verso do zdi,891,1078,https://www.stasanet.cz/out/pictures/master/1/FF85B107-7C33-4160-AD6C-FE9F38774DB1__9155016.jpg,Montážní prvky | Helios IP Verso | 2N Interkomy | Domovní telefony
JABLOTRON ALARMS a.s.,BAT-4V8,"Zálohovací NiCd akupack 4,8V 1,8Ah pro sirény OS-360/365",209,253,https://www.stasanet.cz/out/pictures/master/1/942DE751-069B-4B8D-A262-35B26DD98A65__BAT-4V8.jpg,Sirény | Drátové prvky příslušenství | EZS Alarmy Jablotron
,4FP 111 36/S1,Modul el. vrátného TT94 1 tl. +  tl. na podsvícení,1300,1573,https://www.stasanet.cz/out/pictures/master/1/424AA1E3-ED46-4342-BA0E-58A195AB4E8E__4FP-111-36-S1.jpg,Moduly tlačítkových tabel TT 94 | Dveřní stanice TT94 (4+n) | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
